cid	size	cluster
Expressing_publicly	7	voice.v, vent.v, put into words.v, air.v, give voice.v, articulate.v, express.v
Destroying	15	vaporize.v, blow up.v, unmake.v, take out.v, annihilate.v, raze.v, level.v, blast.v, lay waste.v, destroy.v, demolish.v, ruin.v, obliterate.v, dismantle.v, devastate.v
Soaking	3	steep.v, marinate.v, soak.v
Cotheme	21	escort.v, follow.v, guide.v, hound.v, lead.v, pursue.v, shadow.v, shepherd.v, tail.v, track.v, trail.v, usher.v, stalk.v, tag along.v, walk.v, dog.v, show.v, lead the way.v, chase.v, accompany.v, conduct.v
Studying	1	study.v
Being_in_operation	1	operate.v
Cause_to_end	6	end.v, put an end to.v, arrest.v, abort.v, lift.v, do away with.v
Possession	8	have.v, got.v, lack.v, want.v, belong.v, own.v, have got.v, possess.v
Being_attached	2	stick.v, adhere.v
Rape	2	rape.v, sexually assault.v
Subjective_influence	15	spur.v, motivate.v, influence.v, encourage.v, goad.v, push.v, galvanize.v, stimulate.v, discourage.v, inspire.v, tempt.v, entice.v, impact.v, drive.v, coax.v
Reading_perception	6	scan.v, devour.v, peruse.v, read.v, skim.v, pore.v
Emptying	38	descale.v, scalp.v, defrost.v, delouse.v, eviscerate.v, denude.v, unload.v, expurgate.v, void.v, evacuate.v, debone.v, devein.v, disarm.v, decontaminate.v, cleanse.v, pit.v, seed.v, drain.v, stone.v, clear.v, stalk.v, empty.v, flush.v, purge.v, expunge.v, strip.v, weed.v, divest.v, rid.v, disembowel.v, skin.v, core.v, peel.v, gut.v, bone.v, debug.v, deforest.v, degrease.v
Communication_response	8	come back.v, respond.v, retort.v, reply.v, rejoin.v, counter.v, acknowledge.v, answer.v
Exercising	2	work out.v, exercise.v
Apply_heat	29	barbecue.v, scald.v, parboil.v, coddle.v, char.v, stew.v, simmer.v, bake.v, blanch.v, brown.v, deep fry.v, braise.v, singe.v, plank.v, boil.v, sear.v, broil.v, scorch.v, toast.v, roast.v, cook.v, grill.v, melt.v, fry.v, microwave.v, steam.v, steep.v, poach.v, saute.v
Eventive_affecting	6	hit.v, strike.v, suffer.v, happen.v, see.v, what become (of).v
Labeling	4	label.v, call.v, brand.v, term.v
Conquering	6	overcome.v, conquer.v, capture.v, reduce.v, take.v, fall.v
Indicating	4	finger.v, indicate.v, name.v, identify.v
Hostile_encounter	11	skirmish.v, scuffle.v, struggle.v, confront.v, engage.v, fight.v, war.v, battle.v, duel.v, clash.v, brawl.v
Bragging	6	boast.v, preen.v, vaunt.v, gripe.v, rodomontade.v, brag.v
Fire_burning	3	burn.v, rage.v, blaze.v
Rescuing	2	save.v, rescue.v
Abandonment	3	leave.v, abandon.v, forget.v
Entering_of_plea	1	plead.v
Judgment_communication	41	tout.v, extol.v, laud.v, condemn.v, pin.v, rave.v, hail.v, rip.v, attack.v, praise.v, criticize.v, recriminate.v, damn.v, excoriate.v, decry.v, remonstrate.v, denigrate.v, ridicule.v, blame.v, critique.v, execrate.v, acclaim.v, denounce.v, scoff.v, mock.v, accuse.v, deprecate.v, cite.v, belittle.v, deride.v, castigate.v, blast.v, slam.v, censure.v, disparage.v, harangue.v, dump.v, gibe.v, charge.v, reprehend.v, commend.v
Preventing_or_letting	19	enable.v, stave off.v, preclude.v, keep (from).v, prohibit.v, prevent.v, permit.v, let.v, forestall.v, nip in the bud.v, frustrate.v, upset.v, obviate.v, stop.v, avert.v, check.v, avoid.v, preempt.v, allow.v
Imposing_obligation	7	commit.v, pledge.v, oblige.v, require.v, obligate.v, bind.v, charge.v
Personal_relationship	7	date.v, befriend.v, cohabit.v, sleep (together/with).v, seeing.v, widow.v, court.v
Capability	1	can.v
Process_start	5	erupt.v, start.v, commence.v, break out.v, begin.v
Change_of_quantity_of_possession	2	gain.v, lose.v
Expend_resource	11	go through.v, eat up.v, spend.v, consume.v, run out.v, devour.v, exhaust.v, squander.v, deplete.v, use up.v, expend.v
Purpose	4	aim.v, mean.v, intend.v, plan.v
Resolve_problem	11	clear up.v, work through.v, resolve.v, correct.v, address.v, deal.v, handle.v, get a handle.v, do something about.v, solve.v, fix.v
Recovery	6	heal.v, recover.v, perk up.v, ease.v, recuperate.v, convalesce.v
Change_direction	5	veer.v, swing.v, cut.v, turn.v, bear.v
Aiming	3	direct.v, aim.v, target.v
Arrest	8	book.v, apprehend.v, summons.v, arrest.v, bust.v, nab.v, collar.v, cop.v
Personal_success	3	succeed.v, make it.v, arrive.v
Short_selling	1	sell short.v
Ingestion	31	quaff.v, swill.v, put away.v, put back.v, tuck.v, slurp.v, lap.v, swig.v, guzzle.v, gulp.v, down.v, sip.v, sup.v, munch.v, nosh.v, feast.v, feed.v, snack.v, breakfast.v, lunch.v, dine.v, ingest.v, nurse.v, nibble.v, eat.v, drink.v, gobble.v, devour.v, consume.v, have.v, imbibe.v
Cognitive_connection	2	have to do (with).v, identify with.v
Becoming_attached	7	agglutinate.v, stick.v, bind.v, take hold.v, moor.v, attach.v, fasten.v
Product_development	1	develop.v
Excreting	20	defecate.v, burp.v, spew.v, retch.v, belch.v, fart.v, take a piss.v, evacuate.v, vomit.v, pee.v, throw up.v, urinate.v, perspire.v, piss.v, shit.v, spit up.v, puke.v, regurgitate.v, sweat.v, void.v
Damaging	15	rip.v, nick.v, deface.v, key.v, scrape.v, sabotage.v, vandalise.v, score.v, dent.v, scratch.v, mar.v, tear.v, chip.v, rend.v, damage.v
Distributed_position	20	wreathe.v, blanket.v, litter.v, film.v, fill.v, dot.v, cover.v, decorate.v, stud.v, encircle.v, line.v, coat.v, encrust.v, adorn.v, festoon.v, garnish.v, deck.v, envelop.v, cloak.v, pave.v
Experimentation	2	experiment.v, test.v
Usefulness	1	work.v
Assessing	10	value.v, assess.v, appraise.v, grade.v, reappraise.v, evaluate.v, rank.v, judge.v, rate.v, weigh.v
Mining	2	extract.v, mine.v
Quitting_a_place	13	bolt.v, retreat.v, abandon.v, vamoose.v, skedaddle.v, emigrate.v, split.v, vacate.v, sally.v, desert.v, defect.v, withdraw.v, quit.v
Waver_between_options	6	vacillate.v, waffle.v, waver.v, go back and forth.v, dither.v, flip-flop.v
Renunciation	1	renounce.v
Elusive_goal	3	evade.v, elude.v, escape.v
Repel	2	resist.v, repel.v
Losing_track_of_theme	1	lose.v
Give_impression	9	stink.v, taste.v, feel.v, reek.v, look.v, appear.v, smell.v, seem.v, sound.v
Left_to_do	1	remain.v
Name_conferral	8	baptize.v, dub.v, rename.v, entitle.v, call.v, nickname.v, christen.v, name.v
Hindering	18	curtail.v, retard.v, hinder.v, encumber.v, inhibit.v, impede.v, trammel.v, block.v, constrain.v, hold back.v, interfere.v, obstruct.v, hamper.v, repress.v, restrain.v, delay.v, slow.v, handicap.v
Locale_closure	2	close.v, shut down.v
Cause_to_amalgamate	24	combine.v, fuse.v, coalesce.v, amalgamate.v, conflate.v, unify.v, compound.v, fold.v, intermix.v, flux.v, lump.v, blend.v, bring together.v, commingle.v, jumble.v, admix.v, unite.v, merge.v, join.v, consolidate.v, mix.v, meld.v, pair.v, throw together.v
Firefighting	5	tackle.v, fight.v, attack.v, control.v, battle.v
Revenge	5	get back (at).v, avenge.v, get even.v, retaliate.v, revenge.v
Tolerating	4	endure.v, bear.v, tolerate.v, stand.v
Compliance	19	breach.v, adhere.v, circumvent.v, observe.v, disobey.v, follow.v, flout.v, transgress.v, conform.v, keep.v, honor.v, abide (by).v, break.v, obey.v, by-pass.v, violate.v, comply.v, contravene.v, play by the rules.v
Feigning	7	fake.v, pretend.v, stage.v, affect.v, feign.v, counterfeit.v, simulate.v
Remembering_information	3	remember.v, forget.v, draw blank.v
Make_acquaintance	1	meet.v
Dominate_competitor	1	dominate.v
Commutation	1	commute.v
Respond_to_proposal	5	rebuff.v, accept.v, refuse.v, reject.v, turn down.v
Filling	59	butter.v, asphalt.v, surface.v, anoint.v, tile.v, adorn.v, wallpaper.v, cover.v, coat.v, dust.v, suffuse.v, load.v, fill.v, pack.v, strew.v, smear.v, douse.v, spread.v, flood.v, stuff.v, crowd.v, wrap.v, pave.v, plaster.v, varnish.v, drape.v, paint.v, dab.v, gild.v, daub.v, glaze.v, inject.v, embellish.v, cram.v, panel.v, sow.v, wax.v, seed.v, wash.v, brush.v, plank.v, hang.v, yoke.v, spatter.v, dress.v, splash.v, accessorize.v, splatter.v, spray.v, sprinkle.v, squirt.v, shower.v, drizzle.v, heap.v, pile.v, pump.v, jam.v, plant.v, scatter.v
Successful_action	8	fail.v, go wrong.v, do the trick.v, come off.v, succeed.v, serve.v, do it.v, manage.v
Omen	14	foreshadow.v, forebode.v, bode.v, prefigure.v, augur.v, herald.v, foretoken.v, presage.v, foretell.v, announce.v, betoken.v, threaten.v, promise.v, portend.v
Behind_the_scenes	7	stage.v, film.v, produce.v, cast.v, direct.v, compose.v, shoot.v
Thriving	7	languish.v, thrive.v, live.v, fare.v, prosper.v, flourish.v, do.v
Intentional_traversing	4	climb.v, cut.v, ascend.v, ford.v
Statement	52	proclaim.v, mention.v, claim.v, detail.v, profess.v, tell.v, caution.v, allow.v, propose.v, comment.v, preach.v, be like.v, reaffirm.v, avow.v, challenge.v, recount.v, reiterate.v, pronounce.v, relate.v, remark.v, report.v, say.v, speak.v, state.v, allege.v, suggest.v, conjecture.v, talk.v, write.v, contend.v, venture.v, declare.v, add.v, hazard.v, pout.v, announce.v, exclaim.v, smirk.v, address.v, confirm.v, explain.v, assert.v, gloat.v, acknowledge.v, insist.v, maintain.v, note.v, observe.v, aver.v, refute.v, attest.v, describe.v
Rite	12	ordain.v, pray.v, initiate.v, confirm.v, order.v, sacrifice.v, anoint.v, circumcise.v, consecrate.v, baptize.v, christen.v, bless.v
Inhibit_movement	10	lock.v, immure.v, hold.v, constrain.v, detain.v, confine.v, imprison.v, restrict.v, tie.v, shut up.v
Grinding	13	crunch.v, masticate.v, crumble.v, grind.v, pulverize.v, mash.v, grate.v, pulp.v, flake.v, shred.v, mill.v, crush.v, chew.v
Jury_deliberation	1	deliberate.v
Dominate_situation	3	predominate.v, dominate.v, rule.v
Soaking_up	3	absorb.v, soak up.v, sponge.v
Desiring	22	care.v, long.v, wish.v, aspire.v, thirst.v, wish (that).v, yearn.v, desire.v, pine.v, fancy.v, hunger.v, will.v, feel like.v, lust.v, yen.v, want.v, hope.v, covet.v, hanker.v, ache.v, crave.v, itch.v
Reshaping	16	mold.v, roll.v, form.v, crumple.v, bend.v, scrunch.v, warp.v, flatten.v, launch.v, crush.v, curl.v, squash.v, fold.v, dent.v, shape.v, squish.v
Trust	2	believe.v, trust.v
Committing_crime	2	commit.v, perpetrate.v
Patrolling	2	police.v, patrol.v
Storing	6	store.v, cellar.v, cache.v, stock.v, warehouse.v, keep.v
Obviousness	3	show.v, show up.v, stand out.v
Becoming_visible	1	appear.v
Cause_fluidic_motion	11	drip.v, sprinkle.v, dribble.v, splatter.v, spew.v, spill.v, spatter.v, spray.v, splash.v, squirt.v, pump.v
Shoot_projectiles	4	launch.v, shoot.v, fire off.v, fire.v
Activity_resume	3	renew.v, restart.v, resume.v
Vehicle_landing	3	touch down.v, land.v, set down.v
